	P	Q	S	W	X	Y	Z	Z3	Z4	Z6
Dickeya	6.705712	11.563592	1.659699	33.991989	27.06224	26.924302	7.706857	4.142319	1.982021	2.172416
Bacillus	43.322904	11.128305	20.791382	2.305583	3.54893	2.048675	0.23388	0.2998	0.157538	0.535793
Stenotrophomonas	0.705864	0.389133	1.956783	5.347395	3.213778	2.461594	8.610854	9.052938	12.494708	9.894256
Achromobacter	0.820329	0.515828	0.584236	3.437178	4.917616	2.307371	7.159781	7.216537	12.716245	10.568715
Pseudomonas	0.421611	0.554741	0.647445	12.173304	5.816912	2.572037	5.160615	4.733788	3.734628	3.460962
Burkholderia-Caballeronia-Paraburkholderia	2.320768	2.979132	5.109127	1.424011	1.986348	2.344185	3.143145	3.566093	3.66472	4.018451
Pantoea	1.945896	0.725779	1.123322	6.849268	2.863711	2.449654	3.810211	3.42788	0.90978	2.370509
Ralstonia	1.447976	2.551085	5.302367	2.164566	2.659285	1.34124	1.216176	2.725637	1.135256	0.873494
Paenibacillus	0.099203	0.133934	0.692595	1.25531	2.24868	0.807928	4.514902	4.07931	3.221646	2.33938
Bradyrhizobium	1.615857	3.619844	2.554563	0.61165	1.550299	1.986986	1.300577	3.521377	0.878273	1.126298
Enterobacter	0.520813	0.291397	1.046567	2.481205	1.044938	3.148133	2.187287	2.60775	0.325906	1.36118
Streptomyces	1.856233	4.248792	1.072754	1.19302	2.014424	0.973096	1.40328	0.766268	0.586828	0.580128
Acidibacter	2.419016	3.48953	3.09094	0.481015	0.831739	1.505413	0.51657	0.771349	0.584859	0.559376
Chitinophaga	0.730665	0.234385	0.155315	0.330481	0.751899	0.776089	3.410582	2.11994	1.940667	1.837545
Sphingobacterium	0.05914	0.013574	0.016254	0.512159	0.47553	0.326355	2.919433	1.864856	4.428778	1.372499
Cupriavidus	0.20699	0.270583	0.917439	0.250024	0.858938	0.568137	2.529972	2.399415	2.088359	1.317788
Mycobacterium	1.033996	1.40088	1.495354	0.478419	0.578182	1.481533	1.293458	0.945132	0.869411	0.834819
Enterobacteriaceae_unclassified	0.328132	0.562886	0.051471	0.411804	0.912457	0.34725	2.574715	1.662619	1.658084	1.388535
Klebsiella	1.014919	0.160178	0.618549	0.238777	0.619418	2.206877	1.368707	2.098599	0.283568	0.553716
Rhodanobacter	2.302644	1.082333	0.980649	0.250889	0.518521	1.364125	0.20134	0.217482	0.620305	1.544179
