Sample	pH	YJT	YJZ	QN	QP	QK	SXYJL	SXJ	ATD	XTD	DDL	QY	QLG	QLP	Mn	Ca	Cu	Fe	Zn	FZZ	HMSFFS	HMS1	FFS	HMS2	GSB
P	5.00 	12.85 	22.2 	1.76 	0.0758 	2.83 	9.4 	298 	18.9 	73.2 	306.0 	0.47 	202 	3.298 	0.40 	3.7 	11 	47.8 	104 	12.9 	8.5 	4.9 	3.7 	4.3 	0.84 
Q	4.71 	12.10 	20.9 	1.54 	0.0854 	2.93 	74.9 	229 	60.9 	117.7 	432.0 	0.60 	295 	3.611 	0.37 	2.8 	9 	43.9 	94 	12.1 	8.4 	3.3 	5.1 	3.7 	0.84 
S	4.90 	14.32 	24.7 	1.72 	0.0809 	2.92 	62.2 	259 	10.8 	55.9 	204.0 	0.22 	188 	2.014 	0.36 	9.9 	28 	44.4 	94 	14.3 	5.6 	3.2 	2.4 	8.7 	0.84 
W	4.92 	11.64 	20.1 	1.59 	0.0725 	2.98 	108.4 	186 	46.5 	79.1 	231.0 	0.27 	141 	3.063 	0.36 	2.7 	21 	46.1 	88 	11.6 	6.9 	4.7 	2.2 	4.8 	0.75 
X	5.19 	12.77 	22.0 	1.44 	0.0774 	3.15 	64.3 	211 	9.3 	66.9 	171.5 	0.10 	170 	2.981 	0.41 	2.8 	28 	45.8 	89 	12.8 	6.3 	4.3 	2.0 	6.4 	0.74 
Y	5.07 	13.05 	22.5 	1.64 	0.0846 	2.96 	50.7 	244 	9.5 	43.3 	125.3 	0.17 	186 	3.088 	0.36 	2.3 	12 	36.3 	83 	13.1 	2.2 	1.6 	0.5 	10.9 	0.76 
Z	4.79 	12.30 	21.2 	1.68 	0.0791 	2.91 	109.1 	254 	34.3 	60.8 	263.0 	0.99 	240 	3.181 	0.34 	2.5 	23 	41.0 	89 	12.3 	5.2 	4.3 	0.9 	7.1 	0.76 
Z3	5.00 	12.93 	22.3 	1.61 	0.0872 	3.01 	92.4 	327 	5.5 	37.2 	122.5 	0.40 	191 	3.012 	0.37 	2.5 	24 	41.2 	88 	12.9 	3.1 	2.0 	1.1 	9.8 	0.80 
Z4	4.69 	12.92 	22.3 	1.61 	0.0891 	2.93 	119.2 	275 	7.2 	66.6 	269.0 	1.00 	184 	2.427 	0.36 	2.6 	37 	38.8 	90 	12.9 	2.6 	1.6 	1.0 	10.3 	0.79 
Z6	4.84 	12.75 	22.0 	1.61 	0.0890 	3.00 	102.7 	402 	16.9 	51.8 	188.4 	0.74 	210 	2.791 	0.37 	2.7 	25 	41.8 	93 	12.8 	2.3 	1.3 	1.0 	10.5 	0.78 
