	A1	A2	A3	A4	B1	B2	B3	B4	C1	C2	C3	C4
a1	222.3	216.72	214.17	217.73	354.05	337.68	345.87	345.8666667	285.03	285.07	285.05	285.05
a2	408.67	390.99	419.3	406.32	606.91	581.84	594.37	594.3733333	415.56	424.07	419.82	419.8166667
a3	48.57	46.66	47.6	47.61	99.21	118.01	108.61	108.61	96.05	85.1	90.57	90.57333333
a4	109.1	113.07	107.14	109.77	163.63	197.27	180.45	180.45	115.68	111.38	113.53	113.53
a5	0.95	0.87	0.86	0.893333333	1.72	2.04	1.88	1.88	1.57	1.23	1.4	1.4
a6	475.39	474.4	458.32	469.37	429.47	428.5	428.99	428.9866667	443.53	456.46	450	449.9966667
a7	10.09	9.79	9.06	9.646666667	11.63	13.99	12.81	12.81	11.4	10.68	11.04	11.04
a8	601.59	594.58	584.03	593.4	494.83	497.5	496.17	496.1666667	528.87	563.99	546.43	546.43
a9	409.08	423.83	419.83	417.58	394.73	423.14	408.93	408.9333333	422.46	426.77	424.61	424.6133333
a10	430.41	433	416.27	426.56	515.26	562.06	538.66	538.66	533.17	541.13	537.15	537.15
a11	55.15	54.53	52.99	54.22333333	75.65	68.82	72.24	72.23666667	77.48	60.82	69.15	69.15
a12	222.98	241.38	210.95	225.1033333	327.23	407.57	367.4	367.4	303.86	293.12	298.49	298.49
a13	6.64	6.64	6.1	6.46	8.17	9.13	8.65	8.65	9.15	10.6	9.88	9.876666667
a14	2.03	2.05	2.05	2.043333333	2.18	2.5	2.34	2.34	2.89	2.19	2.54	2.54
a15	0.55	0.52	0.52	0.53	0.97	1.3	1.13	1.133333333	0.96	1.28	1.12	1.12
a16	0.44	0.45	0.44	0.443333333	0.29	0.24	0.27	0.266666667	0.22	0.2	0.21	0.21
a17	277.1	273.99	271.57	274.22	371.58	452.04	411.81	411.81	427.58	418.61	423.09	423.0933333
a18	201.57	202.85	197.4	200.6066667	264.28	270.43	267.36	267.3566667	232.89	233.15	233.02	233.02
a19	3.73	3.78	3.78	3.763333333	3.88	3.57	3.73	3.726666667	3.57	3.56	3.57	3.566666667
