	A1	A2	A3	A4	B1	B2	B3	B4	C1	C2	C3	C4
Pseudomonas	21929.69054	21963.67906	23768.93463	20688.99858	39900.29176	46701.7819	46726.24211	46962.21781	16722.07218	20579.26736	20943.07787	22204.21068
Nocardioides	28326.44844	27283.16041	26677.56098	27110.43738	24549.07268	21174.53709	21430.86195	21099.41749	24328.87853	23890.74569	23401.62484	24067.39287
Unassigned_Acidobacteriota	25862.60079	24743.19549	24792.40563	24983.00259	24850.10105	24061.38787	23894.27432	23851.84633	22402.43993	20476.03688	20476.34021	20113.28433
Bradyrhizobium	17106.02028	16734.96259	16739.31957	16809.29816	16627.66311	15979.38507	16186.143	15791.59022	18472.71272	18738.01597	18607.88292	18864.61514
Microbacterium	12640.80146	12126.45428	11872.12495	12190.04927	17819.352	15530.90966	15519.44147	15657.09372	19849.65	20755.80485	20115.42432	20581.34704
Unassigned_Actinomycetota	15866.64299	15299.49728	14900.69588	15190.07199	18181.33122	15582.58129	16112.01222	15228.32553	17145.7943	16086.91063	15479.42424	15848.5467
Unassigned_Chloroflexota	16496.60439	15813.80215	16274.46353	16437.86538	14765.49853	14153.55961	14111.43442	14057.57942	14087.9975	13247.95981	13267.14662	13134.97052
Mycolicibacterium	9821.446701	9699.171487	9162.300995	9342.272311	15046.91628	13805.34334	13394.5923	12995.20688	12786.67103	12843.6413	12429.53458	12393.56217
Arthrobacter	13541.37757	12335.26425	12698.41763	12782.36803	9494.792206	8988.185406	8713.929703	8950.108663	11497.93688	11473.77567	11406.54856	11203.86108
Streptomyces	11360.09644	11190.28492	11021.14363	10995.9332	10492.78748	9811.609339	9791.644093	9725.007776	10912.6543	11222.51184	11051.80087	11321.42073
Nakamurella	7911.097421	7585.924065	7827.933664	8021.835396	8342.480952	7574.882967	7438.32286	7565.326503	14303.39596	14480.68072	13825.40157	13632.77919
Unassigned_Candidatus_Rokubacteria	10321.83664	9822.164259	9976.156726	10222.77729	10980.92125	9918.944392	9814.805251	9973.363708	9126.848398	8587.703497	8548.484199	8335.98965
Mesorhizobium	7844.571378	7363.636534	7597.121223	7603.119529	8924.557435	8327.052891	8178.436818	8340.700531	9019.773332	9326.987166	9172.491724	9082.578968
Unassigned_Alphaproteobacteria	7916.424755	7685.201101	7740.756345	7798.811375	8807.138111	8283.093375	8398.237831	8297.203909	8515.81187	8355.828515	8292.926466	8386.659852
Unassigned_Betaproteobacteria	7214.386434	6962.087998	7177.543863	7225.372773	8482.36289	7795.23711	7754.910311	7877.589665	7809.978405	8069.261985	8060.039317	8027.235474
Mycobacterium	6357.950994	6264.393603	5961.165147	6100.059009	8365.911749	7907.478688	7656.182111	7537.653095	7760.737083	7639.733491	7355.322292	7366.689797
Microlunatus	5450.006547	5252.07779	5313.142434	5455.373195	5376.79426	4921.126588	4960.932519	4961.84892	7403.943988	7441.101605	7299.009541	7316.79715
Sphingomonas	6474.276172	6131.288636	6044.855039	6036.615656	5593.951718	5219.225087	5186.51646	5260.337819	5197.464584	5295.57396	5311.203512	5231.075731
Rhodococcus	4963.384737	4622.594662	4584.323182	4567.966398	6337.423633	6069.285695	5719.80677	5597.124086	5069.674769	5205.847323	4920.492373	4965.817756
Rhizobium	5527.396664	5036.519839	5326.984558	5283.981274	4371.91911	4357.262146	4206.202746	4351.150103	4833.488559	4924.733133	5041.077375	4887.664557
